iter	Passed	Remaining
0	3	330
1	5	260
2	9	304
3	12	300
4	15	296
5	18	295
6	22	293
7	26	306
8	29	301
9	32	296
10	36	292
11	40	299
12	44	297
13	48	299
14	51	292
15	55	292
16	59	289
17	62	284
18	65	279
19	68	274
20	72	273
21	75	268
22	79	266
23	83	264
24	88	264
25	91	261
26	95	258
27	99	255
28	103	254
29	107	251
30	111	247
31	115	244
32	118	241
33	122	238
34	126	235
35	130	231
36	134	228
37	138	225
38	141	221
39	145	218
40	149	214
41	152	211
42	156	207
43	160	204
44	163	200
45	167	197
46	171	193
47	175	189
48	179	186
49	182	182
50	186	179
51	190	175
52	194	172
53	197	168
54	201	165
55	205	161
56	209	158
57	213	154
58	217	150
59	220	147
60	224	143
61	228	139
62	232	136
63	236	133
64	240	129
65	244	126
66	249	122
67	253	119
68	257	115
69	261	111
70	265	108
71	269	104
72	272	100
73	276	97
74	281	93
75	284	89
76	288	86
77	292	82
78	297	79
79	301	75
80	304	71
81	308	67
82	312	64
83	316	60
84	319	56
85	323	52
86	327	48
87	331	45
88	334	41
89	338	37
90	341	33
91	345	30
92	349	26
93	353	22
94	357	18
95	361	15
96	364	11
97	368	7
98	373	3
99	377	0
