iter	RMSE
0	0.6219463839
1	0.5967846605
2	0.5717758879
3	0.5484454492
4	0.5264439143
5	0.5068244856
6	0.487344029
7	0.469026602
8	0.4520447515
9	0.4351834005
10	0.4204816882
11	0.4053227639
12	0.3917429581
13	0.3798726552
14	0.3680283749
15	0.3574241106
16	0.3463811749
17	0.3361537907
18	0.3265890026
19	0.3177766939
20	0.3093783978
21	0.3018105866
22	0.2943687543
23	0.2883617311
24	0.2820804351
25	0.2761358107
26	0.2706909401
27	0.2654940172
28	0.2608635723
29	0.2565915995
30	0.2525598383
31	0.2487022182
32	0.24527565
33	0.2419397791
34	0.2388554637
35	0.2362167929
36	0.233576917
37	0.2312764772
38	0.2290480047
39	0.2269791936
40	0.2252352458
41	0.2235168427
42	0.2219730444
43	0.2205355701
44	0.2192352569
45	0.2179752112
46	0.216964136
47	0.2159076282
48	0.2148171691
49	0.2138371459
50	0.2129385652
51	0.2121136027
52	0.2112686182
53	0.210561714
54	0.209879163
55	0.2093413568
56	0.2087378935
57	0.2082157519
58	0.2077541889
59	0.207290228
60	0.2067614619
61	0.2063504763
62	0.2059189717
63	0.2054684676
64	0.2050577845
65	0.2046447543
66	0.2042714481
67	0.2040033045
68	0.2037187077
69	0.2033679497
70	0.2031098668
71	0.2024742228
72	0.2022516493
73	0.2020138377
74	0.2018548847
75	0.2015430972
76	0.2013664996
77	0.2010453403
78	0.2008422953
79	0.2006647637
80	0.2004841622
81	0.2002883075
82	0.2001075025
83	0.1998307456
84	0.1996080556
85	0.1994067776
86	0.199099066
87	0.1988467869
88	0.1987142058
89	0.1985673697
90	0.1984196187
91	0.1982227723
92	0.1977998198
93	0.1976787626
94	0.1974048259
95	0.197199889
96	0.1970721586
97	0.1968713321
98	0.196676286
99	0.1964660696
